idninos,idpadrinos,donacion,num_comidas
301,1632,,
389,556,,
486,16,,
1394,321,,
282,1634,,
149,844,,
391,577,,
447,862,,
252,1056,,
376,621,,
118,10,,
639,719,,
240,661,,
102,1635,,
212,488,,
97,574,,
538,796,,
181,217,,
179,1636,,
651,718,,
211,887,,
1370,762,,
1395,319,,
298,275,,
1071,331,,
82,633,,
341,498,,
175,684,,
313,1639,,
137,830,,
354,355,,
1371,781,,
434,337,,
459,416,,
1372,784,,
1373,405,,
337,479,,
965,135,,
469,809,,
499,782,,
1375,391,,
668,1598,,
1374,433,,
658,393,,
649,888,,
548,870,,
13,276,,
133,560,,
16,836,,
1376,411,,
197,218,,
1377,885,,
205,770,,
256,743,,
362,685,,
585,715,,
559,669,,
635,736,,
1378,761,,
429,667,,
334,1640,,
1379,56,,
485,732,,
555,691,,
120,388,,
477,352,,
454,482,,
166,706,,
542,744,,
1380,728,,
505,1409,,
450,1098,,
1381,660,,
253,874,,
78,481,,
1382,803,,
513,846,,
1383,396,,
30,395,,
472,682,,
127,766,,
368,308,,
139,420,,
549,288,,
1384,676,,
345,687,,
338,689,,
374,705,,
483,127,,
669,1641,,
226,1642,,
26,1643,,
577,702,,
378,239,,
1385,250,,
193,568,,
232,244,,
1396,668,,
147,408,,
1386,236,,
310,199,,
448,252,,
1387,212,,
1388,198,,
510,415,,
328,521,,
383,366,,
1389,758,,
233,1644,,
1390,364,,
158,634,,
238,642,,
242,643,,
1391,520,,
39,60,,
1392,800,,
497,765,,
196,526,,
605,394,,
456,304,,
1393,780,,
